Municipalities,0
Aa en Hunze,3
Aalsmeer,4
Aalten,2
Achtkarspelen,2
Alblasserdam,4
Albrandswaard,4
Alkmaar,1
Almelo,2
Almere,1
Alphen aan den Rijn,1
Alphen-Chaam,2
Altena,4
Ameland,3
Amersfoort,1
Amstelveen,1
Amsterdam,0
Apeldoorn,1
Appingedam,2
Arnhem,1
Assen,2
Asten,2
Baarle-Nassau,3
Baarn,2
Barendrecht,4
Barneveld,4
Beek,2
Beekdaelen,3
Beemster,2
Beesel,2
Berg en Dal,2
Bergeijk,2
Bergen (L.),3
Bergen (NH.),3
Bergen op Zoom,1
Berkelland,2
Bernheze,1
Best,2
Beuningen,2
Beverwijk,4
Bladel,2
Blaricum,2
Bloemendaal,2
Bodegraven-Reeuwijk,2
Boekel,2
Borger-Odoorn,3
Borne,2
Borsele,2
Boxmeer,2
Boxtel,2
Breda,1
Brielle,2
Bronckhorst,2
Brummen,2
Brunssum,1
Bunnik,2
Bunschoten,4
Buren,2
Capelle aan den IJssel,1
Castricum,2
Coevorden,2
Cranendonck,2
Cuijk,2
Culemborg,1
Dalfsen,2
Dantumadiel,2
De Bilt,2
De Fryske Marren,2
De Ronde Venen,2
De Wolden,2
Delft,1
Delfzijl,2
Den Haag,0
Den Helder,2
Deurne,2
Deventer,1
Diemen,1
Dinkelland,2
Doesburg,2
Doetinchem,2
Dongen,2
Dordrecht,1
Drechterland,2
Drimmelen,2
Dronten,4
Druten,4
Duiven,2
Echt-Susteren,2
Edam-Volendam,2
Ede,1
Eemnes,2
Eersel,2
Eijsden-Margraten,2
Eindhoven,1
Elburg,4
Emmen,2
Enkhuizen,4
Enschede,1
Epe,2
Ermelo,2
Etten-Leur,4
Geertruidenberg,2
Geldrop-Mierlo,2
Gemert-Bakel,2
Gennep,2
Gilze en Rijen,2
Goeree-Overflakkee,2
Goes,2
Goirle,2
Gooise Meren,2
Gorinchem,4
Gouda,1
Grave,2
Groningen,1
Gulpen-Wittem,3
Haaksbergen,2
Haaren,2
Haarlem,1
Haarlemmermeer,1
Halderberge,2
Hardenberg,2
Harderwijk,4
Hardinxveld-Giessendam,4
Harlingen,2
Hattem,2
Heemskerk,2
Heemstede,2
Heerde,2
Heerenveen,2
Heerhugowaard,4
Heerlen,1
Heeze-Leende,2
Heiloo,2
Hellendoorn,2
Hellevoetsluis,2
Helmond,1
Hendrik-Ido-Ambacht,4
Hengelo,1
Het Hogeland,2
Heumen,2
Heusden,2
Hillegom,4
Hilvarenbeek,2
Hilversum,1
Hoeksche Waard,4
Hof van Twente,2
Hollands Kroon,2
Hoogeveen,2
Hoorn,1
Horst aan de Maas,2
Houten,4
Huizen,2
Hulst,3
IJsselstein,4
Kaag en Braassem,2
Kampen,4
Kapelle,2
Katwijk,4
Kerkrade,1
Koggenland,2
Krimpen aan den IJssel,2
Krimpenerwaard,2
Laarbeek,2
Landerd,2
Landgraaf,3
Landsmeer,2
Langedijk,2
Lansingerland,4
Laren,2
Leeuwarden,1
Leiden,1
Leiderdorp,2
Leidschendam-Voorburg,1
Lelystad,2
Leudal,2
Leusden,2
Lingewaard,2
Lisse,2
Lochem,2
Loon op Zand,4
Lopik,4
Loppersum,3
Losser,2
Maasdriel,2
Maasgouw,2
Maassluis,4
Maastricht,1
Medemblik,2
Meerssen,2
Meierijstad,1
Meppel,2
Middelburg,1
Midden-Delfland,2
Midden-Drenthe,2
Midden-Groningen,2
Mill en Sint Hubert,2
Moerdijk,2
Molenlanden,4
Montferland,2
Montfoort,2
Mook en Middelaar,2
Neder-Betuwe,4
Nederweert,2
Nieuwegein,1
Nieuwkoop,2
Nijkerk,2
Nijmegen,1
Nissewaard,2
Noardeast-Fryslân,2
Noord-Beveland,3
Noordenveld,2
Noordoostpolder,2
Noordwijk,2
Nuenen c.a.,2
Nunspeet,4
Oegstgeest,2
Oirschot,2
Oisterwijk,2
Oldambt,2
Oldebroek,4
Oldenzaal,2
Olst-Wijhe,2
Ommen,4
Oost Gelre,2
Oosterhout,1
Ooststellingwerf,2
Oostzaan,2
Opmeer,2
Opsterland,2
Oss,1
Oude IJsselstreek,2
Ouder-Amstel,2
Oudewater,2
Overbetuwe,1
Papendrecht,4
Peel en Maas,2
Pekela,2
Pijnacker-Nootdorp,4
Purmerend,1
Putten,4
Raalte,2
Reimerswaal,4
Renkum,2
Renswoude,4
